65.46,50.51,46.64,96.05,89.90,90.51,88.73,53.18,46.52,58.10
68.10,15.95,50.04,68.57,3.51,61.15,86.49,24.57,12.99,30.05
21.48,90.56,71.40,66.07,72.24,84.84,49.97,57.15,66.91,80.51
85.77,35.23,59.80,75.85,89.79,55.19,61.41,57.90,24.60,10.10
2.58,29.17,25.12,94.74,74.81,0.42,67.17,51.85,52.35,30.01
98.27,28.56,48.51,77.12,90.06,18.10,20.11,34.95,69.62,39.49
83.79,73.11,70.96,22.89,77.21,99.58,5.76,56.72,4.72,9.51
86.68,98.82,27.33,87.97,97.64,30.71,67.30,42.63,14.77,13.81
87.76,32.20,0.35,11.12,4.85,56.44,53.80,97.44,56.33,76.88
50.26,81.60,29.11,25.10,9.17,73.60,75.30,47.37,0.96,74.77
